Clr,Dedr,Age,Brt,Dwt,Value,HP,Year,Code1
383819,250000,3,63515,109933,53400000,19100,2000,1
132540,75000,15,7845,11546,19100000,3800,2000,1
155925,75000,5,11542,16900,15000000,7776,2000,1
534212,75000,5,11542,16900,15000000,7776,2000,1
141283,75000,16,22361,38313,9600000,7200,2000,1
565871,100000,4,63153,122292,35200000,13700,2000,1
270800,100000,8,21941,39110,8751000,6715,2000,1
144868,100000,8,21941,39110,8751000,6715,2000,1
460000,200000,19,36360,69172,34550000,17120,2000,1
235000,200000,41,16284,32412,12000000,9349,2000,1
450000,200000,48,11949,25345,10780000,7699,2000,1
558000,150000,16,6930,11073,6000000,4050,2000,2
186748,150000,8,13049,13930,18750000,20338,2000,2
2914599,150000,14,17191,30052,14000000,10876,2001,1
403000,150000,14,23306,34752,14000000,13134,2001,1
325536,65000,10,75675,150159,18000000,14199,2001,1
506320,100000,3,80000,45000,22000000,10130,2001,1
463341,100000,4,25100,39200,19500000,9503,2001,1
857263,100000,9,41189,74868,23000000,10900,2001,1
232750,100000,14,25865,43549,11200000,9680,2001,1
232801,100000,13,42447,12763,15000000,14400,2001,2
148682,50000,6,7249,7278,8000000,6933,2001,2
145290,50000,7,7249,7276,8000000,6933,2001,2
310463,100000,17,9092,8900,13000000,7680,2001,2
110845,50000,11,36573,69637,13000000,12106,2001,1
421249,53750,23,9878,12350,3000000,6362,2001,2
384155,250000,10,11878,17012,10000000,5940,2001,2
594710,100000,20,44887,75470,7333333,16533,2001,1
134434,75000,18,35911,63883,5600000,12600,2001,1
160278,75000,14,27417,47665,11000000,9230,2001,1
108392,51612,6,36615,69045,3750000,10500,2001,1
89000,50000,17,9092,11757,9787500,7680,2001,2
230942,40000,5,7405,9696,12000000,9992,2001,2
481542,40000,5,7405,9696,12000000,9992,2001,2
1388360,40000,4,7451,10814,12000000,9992,2001,2
249343,99999,17,12811,17330,6500000,9095,2001,2
144660,99999,17,12811,17330,6500000,9095,2001,2
258004,99999,17,12811,17330,6500000,9095,2001,2
73494,40000,18,23144,37994,9000000,10500,2001,1
241834,40000,18,23144,37994,9000000,10500,2001,1
321321,175000,16,45278,76273,14400000,15200,2001,1
365327,70000,18,41010,75524,11700000,17960,2001,1
108593,70000,6,39422,75460,26000000,14709,2001,1
486450,85000,22,14023,19775,7000000,12400,2001,2
334010,50000,3,23401,31916,23400000,16967,2001,2
367125,150000,0,38900,72700,24000000,10284,2001,1
588914,150000,12,36781,69406,12000000,9329,2001,1
171710,65000,18,6136,6666,5000000,7890,2001,2
830105,100000,17,24643,41502,8800000,7160,2001,1
231905,65000,19,5122,6434,3600000,7000,2001,2
91517,50000,24,19387,37681,1926000,11398,2001,1
257065,100000,17,49326,44013,36600000,32940,2001,2
971523,100000,23,47089,17316,26700000,20500,2001,2
139500,100000,23,47089,17316,26700000,20500,2001,2
198800,100000,18,27440,10599,8800000,12000,2001,2
209770,100000,22,40542,35098,10500000,27900,2001,2
333370,250000,16,27470,39260,33400000,10970,2001,1
247016,100000,20,4668,7500,6000000,4400,2001,1
1199548,100000,21,89421,129017,43333550,40999,2001,1
236978,75000,19,36284,64584,10000000,15200,2001,1
219508,75000,19,36284,64584,10000000,15200,2001,1
128531,50000,2,38888,74002,24984000,12000,2001,1
280097,75000,18,15850,26384,3850000,7200,2001,1
280097,75000,18,15850,26384,3850000,7200,2001,1
150000,100000,2,37237,12778,29600000,15036,2001,2
234776,100000,2,37237,12778,29600000,15036,2001,2
187536,100000,12,39043,14780,14400000,7915,2001,2
298527,175000,14,82975,148982,14000000,23030,2001,1
86604,50000,9,29369,46908,24000000,12170,2001,1
240787,125000,11,41173,68178,25000000,16309,2001,1
184405,75000,15,17142,26943,7200000,7171,2001,1
280000,100000,0,29986,53000,18240000,11640,2001,1
269785,100000,10,89004,169146,26000000,20941,2001,1
133468,100000,2,39714,75200,14174000,12590,2001,1
349891,75000,11,24606,42263,10000000,11388,2001,1
201141,125000,24,21047,31921,10000000,11600,2001,1
232013,150000,6,77211,150903,13500000,16500,2001,1
370176,100000,14,28805,45295,10000000,10230,2001,1
189990,50000,4,4000,5400,6300000,5384,2001,2
166600,50000,4,4000,5400,6300000,5384,2001,2
151445,50000,4,4000,5400,6300000,5384,2001,2
120006,50000,4,4000,5400,6300000,5384,2001,2
1721857,150000,1,56853,21484,40000000,17510,2001,2
276890,150000,21,33369,12165,7000000,11200,2001,2
276454,150000,21,33369,12165,7000000,11200,2001,2
520000,85000,23,16872,21794,5000000,14999,2001,2
390478,250000,16,25982,43648,7000000,9680,2001,1
514754,250000,4,26044,45426,14000000,9750,2001,1
302482,150000,15,23306,35532,14000000,13134,2002,1
1050000,250000,7,34364,44236,24000000,15638,2002,2
750000,250000,3,30840,39495,30000000,15226,2002,2
141670,100000,18,9092,8900,12000000,7680,2002,2
165063,100000,18,9092,8900,12000000,7680,2002,2
162148,100000,18,9092,8900,12000000,7680,2002,2
221242,100000,10,7944,11155,12000000,16212,2002,2
1504926,135000,26,24224,37518,7500000,13300,2002,1
431751,135000,21,16021,27139,4500000,10550,2002,1
464154,100000,15,28805,45295,12000000,9880,2002,1
171250,70000,3,39161,73035,26000000,11220,2002,1
171250,70000,3,39161,73035,26000000,11220,2002,1
770000,100000,23,22600,38888,3000000,11556,2002,1
98313,50000,19,23144,37994,7200000,10500,2002,1
200011,99999,19,35911,63883,5200000,12600,2002,1
915540,100000,23,23239,31555,4800000,15200,2002,2
379850,175000,17,45278,76273,14400000,15200,2002,1
834501,75000,17,14348,23286,7700000,7020,2002,2
2114893,125000,1,41428,70018,25000000,14661,2002,1
182987,50000,8,7249,7276,8000000,6933,2002,2
277544,50000,17,7857,11546,19100000,3800,2002,1
81972,50000,17,7857,11546,19100000,3800,2002,1
152023,65000,10,13237,17175,5680000,10809,2002,2
138136,65000,9,13237,17546,6013000,10808,2002,2
157376,65000,8,13258,17493,6213000,10808,2002,2
225000,75000,27,23076,38708,9000000,8750,2002,1
147991,85000,26,13743,22312,4500000,8000,2002,1
171578,100000,5,36559,70281,21200000,12500,2002,1
1472230,50000,5,16041,26411,10500000,8261,2002,1
155650,100000,10,21941,39110,6476000,6715,2002,1
193892,75000,17,3986,6025,5000000,4000,2002,2
356577,250000,11,44398,42276,40000000,10050,2002,2
606616,250000,1,29103,23575,40000000,17646,2002,2
340318,250000,6,35998,51733,40000000,15662,2002,1
325891,250000,17,27470,39239,33400000,10970,2002,1
419736,250000,17,27470,39239,33400000,10970,2002,1
1000000,100000,21,3875,6243,6000000,4400,2002,1
651036,150000,6,81151,161059,24000000,21371,2002,1
239454,150000,15,31255,47980,13000000,12800,2002,1
373875,100000,18,37168,60550,27350000,11900,2002,1
224835,75000,18,12615,9472,9400000,11600,2002,2
191710,100000,15,49750,15528,24000000,10070,2002,2
361066,150000,9,37550,70456,22000000,9609,2002,1
147195,100000,14,42447,12763,15000000,14400,2002,2
182358,75000,8,38479,73350,13300000,12300,2002,1
525000,75000,7,26381,47574,14000000,12060,2002,1
275000,75000,24,14991,22329,2450000,11550,2002,2
162378,100000,16,28805,45295,10000000,9880,2002,1
151965,100000,8,38679,70000,15780000,12260,2002,1
358534,75000,5,16794,28426,8700000,7795,2002,1
250911,150000,13,31276,48263,13000000,12800,2002,1
1701509,300000,5,155051,322457,50000000,29450,2002,1
190438,100000,10,89004,169146,25334000,18850,2002,1
125000,50000,10,89004,169146,25466400,18843,2002,1
842792,90000,21,43576,77673,8000000,15800,2002,1
225000,125000,18,90747,149863,7000000,21500,2002,1
423169,150000,7,26756,43991,8100000,8730,2002,1
147576,55000,4,4150,4950,6300000,5384,2002,2
525000,250000,8,10584,10282,8650000,15515,2002,2
600862,250000,18,24942,42833,7000000,7965,2002,1
311737,150000,23,30995,44016,4000000,15200,2002,2
227514,150000,23,30995,44016,4000000,15200,2002,2
1372821,150000,2,56853,21484,38000000,17510,2002,2
325000,100000,25,19917,34290,6000000,11900,2002,1
1223170,150000,14,36520,70227,11200000,9750,2002,1
2775793,85000,18,21551,32813,8400000,11093,2002,1
979145,85000,20,16511,21894,4800000,11200,2002,2
