Time,Dedr,Age,Brt,Dwt,Value,HP,Year,Code1,Claims
1,142709,2,15000,21250,70528290,11073,1998,1,0
1,41311,7,2700,3300,15622880,1824,2002,1,0
0.64,175162,11,86374,147327,27369125,19200,1997,1,0
0.36,175162,11,86374,147327,20494001,19200,1997,1,0
0.68,175162,12,86374,147327,20494001,19200,1998,1,0
0.32,175162,12,86374,147327,20494001,19200,1998,1,0
0.25,175162,13,86374,147327,20494001,19200,1999,1,0
0.75,175162,13,86374,147327,18720482,19200,1999,1,0
0.53,135345,16,24300,38200,19335000,13230,2001,1,0
0.53,135345,17,22746,36920,19335000,13230,2001,1,0
0.53,135345,21,22706,35100,19335000,10700,2001,1,1
0.53,135345,38,20645,29283,19335000,8999,2001,1,0
0.53,135345,24,22674,33084,19335000,9000,2001,1,0
0.53,135345,24,22772,33309,19335000,9000,2001,1,0
0.53,135345,28,23989,35439,19335000,9000,2001,1,0
0.53,135345,29,23983,34938,19335000,9000,2001,1,0
0.53,135345,32,20633,29272,19335000,9600,2001,1,1
0.53,135345,35,19291,28236,19335000,8000,2001,1,0
0.53,135345,33,17808,26326,19335000,9600,2001,1,0
0.53,135345,35,33792,56887,11601000,15000,2001,1,0
0.53,96675,40,6730,7450,3867000,1850,2001,1,1
0.48,96675,41,17070,26214,3867000,9349,2001,1,0
0.48,96675,47,15500,23623,3867000,8499,2001,1,0
1,128455,17,24300,38200,19335000,13230,2002,1,0
1,128455,18,22746,36920,19335000,13230,2002,1,0
1,128455,22,22706,35100,19335000,10700,2002,1,1
1,135345,39,20645,29283,19335000,8999,2002,1,0
1,135345,25,22674,33084,19335000,9000,2002,1,0
1,135345,25,22772,33309,19335000,9000,2002,1,0
1,135345,29,23989,35439,19335000,9000,2002,1,0
1,135345,30,23983,34938,19335000,9000,2002,1,0
1,135345,33,20633,29272,19335000,9600,2002,1,0
0.14,135345,36,19291,28236,19335000,8000,2002,1,0
1,135345,34,17808,26326,19335000,9600,2002,1,0
1,135345,36,33792,56887,11601000,15000,2002,1,0
1,96675,41,6730,7450,3867000,1850,2002,1,0
1,135345,42,17070,26214,3867000,9349,2002,1,0
1,135345,48,15500,23623,3867000,8499,2002,1,0
0.79,135345,43,18531,28591,3867000,8750,2002,1,1
0.79,135345,35,10902,17893,3867000,5332,2002,1,0
0.79,135345,17,20370,32713,7734000,8158,2002,1,0
1.25,386700,40,20646,30100,19335000,8999,2003,1,0
1.25,386700,35,17808,27500,19335000,9600,2003,1,0
1.25,386700,34,20634,29700,19335000,9600,2003,1,0
1.25,386700,31,23983,34938,19335000,9000,2003,1,0
1.25,386700,30,23989,35439,19335000,9000,2003,1,0
1.25,386700,26,24024,36674,19335000,9000,2003,1,0
1.25,386700,26,22772,33000,19335000,9000,2003,1,0
1.25,256909,23,22706,35100,19335000,10700,2003,1,0
1.25,256909,19,22746,36920,19335000,13230,2003,1,0
1.25,256909,18,24300,38200,19335000,13230,2003,1,0
1.25,386700,37,33792,56887,11601000,15000,2003,1,0
1.25,386700,18,20370,32713,7734000,8158,2003,1,0
0.55,386700,43,17070,26214,3867000,9349,2003,1,0
0.55,386700,49,15500,23623,3867000,8499,2003,1,0
1.25,96675,42,6730,7450,3867000,1850,2003,1,0
1.25,386700,44,18531,28591,3867000,8750,2003,1,0
0.96,386700,36,10902,17893,3867000,5332,2003,1,0
1.25,513819,20,22388,35315,7734000,10880,2003,1,0
1.15,386700,20,22388,36248,7734000,10880,2003,1,0
0.81,80643,0,155000,317700,41553918,29450,1997,1,0
1,99999,8,5753,7639,16128675,2712,1997,2,0
1,119352,12,6389,8709,15375788,3510,1997,1,0
1,119352,15,6793,10110,10508154,4600,1997,1,0
1,119352,14,5829,10110,13498411,4600,1997,1,0
1,119352,13,6389,8721,15376434,3510,1997,1,0
1,119352,12,6398,8734,15375788,3800,1997,1,1
1,119352,11,7556,11339,16960269,3798,1997,1,1
1,99999,1,4464,4600,3225735,6118,1997,2,0
1,99999,1,7361,7225,1290294,9027,1997,2,0
1,99999,4,7361,9410,1290294,9027,1997,2,0
1,119352,13,6389,8709,15375788,3510,1998,1,0
1,119352,16,6793,10110,10508154,4600,1998,1,0
1,119352,15,5829,10110,13498411,4600,1998,1,0
1,119352,14,6389,8721,15376434,3510,1998,1,0
1,119352,13,6398,8734,15375788,3800,1998,1,1
1,119352,12,7556,11339,16960269,3798,1998,1,1
1,64515,15,45051,75466,33547644,14860,1998,1,0
1,51612,8,18000,26288,28709042,13595,1998,2,0
1,51612,9,18000,26288,28709042,13595,1998,2,0
0.17,38709,3,7039,8836,12644881,8157,1998,2,0
0.15,38709,3,7039,8836,12644881,8157,1998,2,0
0.17,38709,3,7039,8836,12644881,8157,1998,2,0
0.17,25806,14,4438,6154,4967632,3900,1998,2,0
0.15,25806,14,4438,6154,4967632,3900,1998,2,0
0.17,25806,14,4438,6154,4967632,3900,1998,2,0
0.17,25806,18,3993,5900,4516029,3224,1998,1,0
0.15,25806,18,3993,5900,4516029,3224,1998,1,0
0.17,25806,18,3993,5900,4516029,3224,1998,1,0
0.17,25806,18,2485,3032,1806412,1998,1998,2,0
0.15,25806,18,2485,3032,1806412,1998,1998,2,0
0.17,25806,18,2485,3032,1806412,1998,1998,2,0
0.17,25806,12,2726,2958,2483816,1195,1998,2,0
0.15,25806,12,2726,2958,2483816,1195,1998,2,0
0.17,25806,12,2726,2958,2483816,1195,1998,2,0
0.17,38709,0,5599,6700,11064271,8080,1998,2,0
0.15,38709,0,5599,6700,11064271,8080,1998,2,0
0.17,38709,0,5599,6700,11064271,8080,1998,2,0
0.47,58708,14,6389,8709,15375788,3510,1999,1,0
0.47,87740,17,6793,10110,10508154,4600,1999,1,0
0.47,87740,16,5829,10110,13498411,4600,1999,1,0
0.47,58708,15,6389,8721,15376434,3510,1999,1,0
0.47,58708,14,6398,8734,15375788,3800,1999,1,0
0.47,87740,13,7556,11339,16960269,3798,1999,1,0
1,64515,16,45051,75466,33547644,14860,1999,1,0
1,45160,16,45051,75466,33547644,14860,1999,1,0
1,51612,10,18000,26288,28709042,13595,1999,2,0
1,45160,10,18000,26288,28709042,13595,1999,2,0
1,87740,14,7556,11339,16960269,3798,2000,1,0
1,58708,15,6398,8734,15375788,3800,2000,1,0
1,58708,16,6389,8721,15376434,3510,2000,1,1
1,58708,15,6389,8709,15375788,3510,2000,1,1
1,87740,17,5829,10110,13498411,4600,2000,1,0
1,87740,18,6793,10110,10508154,4600,2000,1,0
1,45160,17,45051,75466,33547644,14860,2000,1,3
1,45160,11,18000,26288,28709042,13595,2000,2,0
1,45160,3,155061,322398,41553918,29450,2000,1,0
0.61,45160,5,36615,69045,14806124,10500,2000,1,1
1,87740,15,7556,12094,16960269,3798,2001,1,0
1,58708,16,6398,8909,15375788,3800,2001,1,0
1,58708,17,6389,8709,15376434,3510,2001,1,0
1,58708,16,6389,8709,15375788,3510,2001,1,0
1,87740,18,6944,10110,13498411,4600,2001,1,0
1,87740,19,6944,10110,10508154,4600,2001,1,0
1,45160,18,45051,75466,33547644,14860,2001,1,0
1,51612,18,45051,75466,33547644,14860,2001,1,0
1,51612,18,45051,75466,33547644,14860,2001,1,0
1,45160,12,18000,26288,28709042,13595,2001,2,0
1,51612,12,18000,26288,28709042,13595,2001,2,0
1,51612,12,18000,26288,28709042,13595,2001,2,0
0.32,45160,4,155061,322398,41553918,29450,2001,1,4
0.32,96772,4,155061,322398,41553918,29450,2001,1,3
0.32,96772,4,155061,322398,41553918,29450,2001,1,3
1,45160,6,36615,69045,14806124,10500,2001,1,1
1,51612,6,36615,69045,14806124,10500,2001,1,1
1,51612,6,36615,69045,14806124,10500,2001,1,1
0.59,14980,16,3329,4127,3870882,3019,2001,2,0
0.59,14980,17,3329,4115,3548309,1434,2001,2,0
0.5,126180,19,45051,75466,33547644,14860,2002,1,0
0.5,45160,19,45051,75466,33547644,14860,2002,1,0
0.5,94635,13,18000,26288,28709042,13595,2002,2,0
0.5,45160,13,18000,26288,28709042,13595,2002,2,0
0.5,126180,7,36615,69045,14806124,10500,2002,1,0
0.5,45160,7,36615,69045,14806124,10500,2002,1,0
0.5,126180,8,38513,72873,15128697,11795,2002,1,0
0.5,45160,8,38513,72873,15128697,11795,2002,1,0
0.85,53923,18,2526,2725,5236470,3000,1998,2,0
0.85,53923,19,2249,2432,4353210,3400,1998,2,0
1,53923,19,2526,2725,5236470,3000,1999,2,0
1,53923,20,2249,2432,4353210,3400,1999,2,0
0.36,45160,4,36600,72000,14914476,10500,2000,1,0
0.68,45160,4,155061,322398,57159540,29450,2001,1,0
0.68,96772,4,155061,322398,57159540,29450,2001,1,0
0.68,96772,4,155061,322398,57159540,29450,2001,1,1
1,45160,5,36615,70165,14914476,10500,2001,1,0
1,51612,5,36615,70165,14914476,10500,2001,1,0
1,51612,5,36615,70165,14914476,10500,2001,1,0
0.62,100944,0,17500,28000,40377600,9924,2001,1,0
1,50000,2,9233,3387,19492286,6526,2001,2,0
1,50000,1,9233,2500,20017195,6526,2001,2,0
0.41,14980,16,3329,4127,3873726,3019,2001,2,0
0.41,14980,17,3329,4115,3551967,1434,2001,2,0
1,99999,2,11596,4443,34068600,13378,2001,2,0
1,99999,1,21010,6670,40377600,22840,2001,2,0
1,94635,18,7069,1550,9589680,5000,2001,2,0
1,63090,22,7114,1849,5804280,4500,2001,2,1
1,94635,18,7069,1566,9589680,5000,2001,2,0
1,94635,19,6421,1472,9463500,4000,2001,2,0
1,63090,24,5927,1313,5047200,3200,2001,2,0
1,126180,4,11591,4442,34068600,13378,2001,2,0
1,126180,4,11591,4442,34068600,13378,2001,2,0
1,126180,3,11591,4442,34068600,13378,2001,2,1
1,99999,1,21010,4470,40377600,21127,2001,2,0
1,99999,1,21094,4470,40377600,22840,2001,2,0
1,99999,27,5180,1400,1640340,4000,2001,2,0
0.42,100000,0,17600,15800,45424800,21208,2001,2,0
1,69904,11,6420,6817,10599120,9049,2002,2,0
1,69904,12,6419,6817,10599120,9049,2002,2,0
1,69904,11,6419,6830,10599120,9049,2002,2,1
0.5,252360,5,155061,322398,57159540,29450,2002,1,0
0.5,45160,5,155061,322398,57159540,29450,2002,1,0
0.5,126180,6,36615,70165,14914476,10500,2002,1,0
0.5,45160,6,36615,70165,14914476,10500,2002,1,0
1,50000,16,7556,12094,16961116,3798,2002,1,0
1,50000,17,6398,8909,15376295,3800,2002,1,1
1,50000,18,6389,8709,15376295,3510,2002,1,0
1,50000,17,6389,8709,15376295,3510,2002,1,2
1,50000,19,6944,10110,13498736,4600,2002,1,0
1,50000,20,6944,10110,13498736,4600,2002,1,1
1,75000,1,17765,28000,40377600,9924,2002,1,0
0.84,69904,0,22800,30000,30914100,19313,2002,2,0
1,37450,17,3329,4127,3873726,3019,2002,2,1
1,37450,18,3329,4115,3551967,1434,2002,2,0
1,126180,3,28148,44593,15483554,16314,2002,1,0
0.1,189270,1,56660,27000,60566400,17946,2002,2,0
0.52,69904,0,23132,30000,30914100,21152,2002,2,0
1,145107,0,21554,15800,45424800,21208,2002,2,0
1,145107,0,17600,15800,45424800,21208,2002,2,0
0.52,75000,4,4115,5199,9084960,5384,2002,2,0
0.52,75000,4,4115,5184,9084960,5384,2002,2,1
0.52,75000,4,4115,5199,9084960,5384,2002,2,0
0.52,75000,3,4115,5199,9084960,5384,2002,2,0
1,94635,9,7743,7721,1892700,11012,2003,2,0
1,94635,9,7743,7721,1892700,11012,2003,2,0
1,126180,8,36615,69045,17034300,10500,2003,1,1
1,126180,9,38513,72873,16403400,11795,2003,1,0
1,126180,7,36615,70165,16403400,10500,2003,1,1
1,252360,6,155061,322398,37601640,29450,2003,1,0
0.43,126180,20,45051,75466,8075520,14860,2003,1,1
1,94635,14,18000,26288,18927000,13595,2003,2,0
1,69904,2,23132,30537,30914100,21460,2003,2,1
1,69904,12,6420,6817,10599120,9049,2003,2,1
1,69904,12,6419,6830,10599120,9049,2003,2,0
1,69904,13,6419,6817,10599120,9049,2003,2,0
1,69904,1,22800,30000,30914100,19313,2003,2,0
0.21,63090,20,2046,1880,1892700,985,2003,2,0
0.68,126180,6,38215,73726,12491820,12070,2003,1,0
1,63090,9,9693,3903,22712400,12236,2003,2,0
1,63090,9,9693,3933,22712400,12236,2003,2,0
0.08,87064,2,17765,28000,58042800,9924,2003,1,0
0.93,87064,2,17765,28000,59304600,9924,2003,1,0
0.76,50000,13,14145,17309,22333860,5755,2003,1,0
1,58043,17,7556,12094,16961116,3798,2003,1,0
1,58043,18,6389,8709,15376295,3510,2003,1,0
1,58043,19,6389,8709,15376295,3510,2003,1,0
1,58043,18,6398,8909,15376295,3800,2003,1,0
1,58043,21,6944,10110,13498736,4600,2003,1,0
1,58043,20,6944,10110,13498736,4600,2003,1,0
1,44940,18,3329,4127,3873726,3019,2003,2,0
1,44940,19,3329,4115,3551967,1434,2003,2,0
0.48,75708,5,4115,5199,9084960,5384,2003,2,0
0.52,60000,5,4115,5199,9084960,5384,2003,2,0
0.48,75708,5,4115,5184,9084960,5384,2003,2,0
0.52,60000,5,4115,5184,9084960,5384,2003,2,0
0.48,75708,5,4115,5199,9084960,5384,2003,2,1
0.52,60000,5,4115,5199,9084960,5384,2003,2,0
0.48,75708,4,4115,5199,9084960,5384,2003,2,0
0.52,60000,4,4115,5199,9084960,5384,2003,2,0
1.06,175000,6,81329,159829,5539302,22920,2003,1,0
1.04,175000,6,81329,160013,5160762,11640,2003,1,0
1.11,100000,6,38364,73762,4353210,12070,2003,1,0
1,126180,1,21554,5600,45424800,21208,2003,2,0
1,126180,1,21554,5600,45424800,21208,2003,2,0
1,99999,4,63153,114975,5348739,13965,1997,1,0
1,99999,4,63153,114975,32092437,13965,1997,1,0
1,99999,4,63153,114975,11388964,13965,1997,1,0
1,99999,12,74003,145905,5348739,14775,1997,1,0
1,99999,12,74003,145905,9263163,14775,1997,1,0
0.27,99999,5,63153,114975,5417022,13965,1998,1,0
0.27,99999,5,63153,114975,32502128,13965,1998,1,0
0.27,99999,5,63153,114975,7991191,13965,1998,1,0
0.73,99999,5,63153,114975,5417022,13965,1998,1,0
0.73,99999,5,63153,114975,7991191,13965,1998,1,0
0.73,99999,5,63153,114975,32502128,13965,1998,1,0
0.27,99999,13,74003,145905,5417022,14775,1998,1,0
0.27,99999,13,74003,145905,6275078,14775,1998,1,0
1,108714,7,63153,114975,46337200,13965,2000,1,0
1,109783,8,63153,114975,42059920,13965,2001,1,0
1,71288,25,27482,45648,4469758,10800,2001,1,0
1,109784,9,63153,114975,40634160,13965,2002,1,0
1,250000,11,27972,43131,23370000,9940,1997,2,0
1,250000,11,27972,43131,23370000,9073,1997,2,0
1,250000,12,27972,43131,25239600,9940,1998,2,0
1,250000,12,27972,43131,25239600,9073,1998,2,0
0.15,175000,3,77321,156700,27483120,17800,1999,1,0
0.14,99999,2,51204,17297,17948160,19200,2001,2,0
0.49,99999,2,51204,17297,16751616,19200,2001,2,0
0.37,100000,2,51204,17297,16751616,19200,2001,2,0
1,58892,8,6722,4700,7623201,3671,2001,2,0
1,58892,8,8659,3222,7623201,4319,2001,2,0
0.5,100000,19,24338,9066,4674000,12060,2001,2,0
1,100000,3,51204,17297,16751616,19200,2002,2,0
1,250000,4,51204,17297,15029922,19200,2003,2,0
0.7,74900,19,1262,1150,2756320,1125,1997,2,0
1,74900,20,1262,1150,2756320,1125,1998,2,0
0.83,74900,19,2119,1778,2996000,3005,1998,2,2
1,74900,20,2119,1778,2996000,3005,1999,2,0
1,74900,21,1262,1150,2756320,1125,1999,2,0
1,74900,14,397,400,2996000,3560,2000,2,0
0.24,29960,21,3424,5210,4194400,3400,2000,2,0
1,29960,7,2026,3080,4793600,1997,2000,2,0
1,29960,4,4197,6254,8239000,3589,2000,1,0
1,29960,2,4200,6254,8988000,3589,2000,1,1
1,29960,2,3092,4200,8988000,2827,2000,1,0
1,29960,1,4200,6274,8988000,3589,2000,1,0
1,29960,1,3092,4167,8988000,2828,2000,1,0
0.72,74900,22,1264,1150,1198400,1125,2000,2,0
0.16,74900,21,2119,1778,2996000,3005,2000,2,0
0.84,74900,21,2119,1778,2996000,3005,2000,2,0
0.16,74900,22,1262,1150,2756320,1125,2000,2,0
0.84,74900,22,1262,1150,2756320,1125,2000,2,1
0.72,74900,31,1305,813,1198400,1500,2000,2,0
1,74900,3,1264,820,10066560,3072,2000,2,0
0.5,44940,22,16788,17190,13482000,9300,2000,1,1
1,29960,31,839,925,1048600,1018,2000,2,0
0.09,74900,22,1253,1132,1647800,1125,2000,2,0
1,74900,22,2119,1778,2996000,3005,2001,2,0
0.5,74900,22,2119,1778,2996000,3005,2001,2,1
1,74900,23,1262,1150,2756320,1125,2001,2,0
0.5,74900,23,1262,1150,2756320,1125,2001,2,0
1,74900,15,397,400,2396800,3560,2001,2,0
0.05,29960,16,2706,2000,3445400,2750,2001,2,0
1,74900,16,397,400,2396800,3560,2002,2,0
1,11235,24,2171,2700,2247000,1750,2003,2,0
1,37450,20,3998,4482,5992000,4100,1997,2,0
1,37450,16,3432,6157,6995660,4400,1997,2,0
1,187250,7,5339,5670,14980000,4065,1997,2,0
1,187250,7,5339,5670,14980000,4065,1997,2,0
1,187250,7,5603,4944,14980000,4000,1997,2,0
1,187250,7,5603,4944,14980000,4000,1997,2,0
1,187250,8,5167,5353,14980000,4000,1997,2,0
1,187250,8,5167,5353,14980000,4000,1997,2,0
1,187250,10,4859,4568,13182400,4080,1997,2,0
1,187250,10,4859,4568,13182400,4080,1997,2,0
1,187250,11,4876,4585,13182400,4076,1997,2,0
1,187250,11,4876,4585,13182400,4076,1997,2,0
1,187250,15,6465,5500,11984000,5800,1997,2,0
1,187250,15,6465,5500,11984000,5800,1997,2,0
1,187250,22,3382,3991,4793600,3000,1997,2,0
1,187250,22,3382,3991,4793600,3000,1997,2,0
1,187250,23,3382,3994,4793600,3000,1997,2,0
1,187250,23,3382,3994,4793600,3000,1997,2,0
1,187250,17,2065,1478,3595200,2000,1997,2,0
1,187250,17,2065,1478,3595200,2000,1997,2,0
1,187250,18,2065,1487,3595200,2000,1997,2,0
1,187250,18,2065,1487,3595200,2000,1997,2,0
1,187250,19,2195,1900,3595200,1960,1997,2,0
1,187250,19,2195,1900,3595200,1960,1997,2,0
1,44940,0,1991,1300,8988000,3586,1997,2,0
1,187250,8,5339,5670,14980000,4065,1998,2,0
1,187250,8,5339,5670,14980000,4065,1998,2,0
1,187250,8,5603,4944,14980000,4000,1998,2,0
1,187250,8,5603,4944,14980000,4000,1998,2,0
1,187250,9,5167,5353,14980000,4000,1998,2,0
1,187250,9,5167,5353,14980000,4000,1998,2,0
1,187250,11,4859,4568,13182400,4080,1998,2,0
1,187250,11,4859,4568,13182400,4080,1998,2,0
1,187250,12,4876,4585,13182400,4076,1998,2,0
1,187250,12,4876,4585,13182400,4076,1998,2,0
1,187250,16,6465,5500,11984000,5800,1998,2,0
1,187250,16,6465,5500,11984000,5800,1998,2,0
1,187250,23,3382,3991,4793600,3000,1998,2,0
1,187250,23,3382,3991,4793600,3000,1998,2,0
1,187250,24,3382,3994,4793600,3000,1998,2,0
1,187250,24,3382,3994,4793600,3000,1998,2,0
1,187250,18,2065,1478,3595200,2000,1998,2,1
1,187250,18,2065,1478,3595200,2000,1998,2,1
1,187250,19,2065,1487,3595200,2000,1998,2,0
1,187250,19,2065,1487,3595200,2000,1998,2,0
1,187250,20,2195,1900,3595200,1960,1998,2,1
1,187250,20,2195,1900,3595200,1960,1998,2,1
1,37450,21,3998,4482,5992000,4100,1998,2,0
1,37450,17,3432,6157,6995660,4400,1998,2,2
1,44940,1,1991,1300,9737000,3586,1998,2,0
0.29,187250,23,1739,1664,2247000,2230,1998,2,0
0.29,187250,23,1739,1664,2247000,2230,1998,2,0
0.29,187250,24,1739,1175,2247000,2229,1998,2,0
0.29,187250,24,1739,1175,2247000,2229,1998,2,0
1,37450,22,3998,4482,5992000,4100,1999,2,0
1,37450,18,3432,6157,6995660,4400,1999,2,0
1,44940,2,1991,1300,9737000,3586,1999,2,0
1,187250,9,5339,5670,14980000,4065,1999,2,0
1,187250,9,5339,5670,14980000,4065,1999,2,0
1,187250,9,5603,4944,14980000,4000,1999,2,0
1,187250,9,5603,4944,14980000,4000,1999,2,0
1,187250,10,5167,5353,14980000,4000,1999,2,0
1,187250,10,5167,5353,14980000,4000,1999,2,0
1,187250,12,4859,4568,13182400,4080,1999,2,0
1,187250,12,4859,4568,13182400,4080,1999,2,0
1,187250,13,4876,4585,13182400,4076,1999,2,0
1,187250,13,4876,4585,13182400,4076,1999,2,0
1,187250,17,6465,5500,11984000,5800,1999,2,0
1,187250,17,6465,5500,11984000,5800,1999,2,0
1,187250,24,3382,3991,4793600,3000,1999,2,0
1,187250,24,3382,3991,4793600,3000,1999,2,0
1,187250,25,3382,3994,4793600,3000,1999,2,0
1,187250,25,3382,3994,4793600,3000,1999,2,0
1,187250,19,2065,1478,3595200,2000,1999,2,0
1,187250,19,2065,1478,3595200,2000,1999,2,0
1,187250,20,2065,1487,3595200,2000,1999,2,0
1,187250,20,2065,1487,3595200,2000,1999,2,0
1,187250,21,2195,1900,3595200,1960,1999,2,0
1,187250,21,2195,1900,3595200,1960,1999,2,0
1,37450,17,1636,2467,1398133,998,1999,2,0
0.74,29960,21,3949,5800,2097200,4000,1999,1,0
1,187250,24,1739,1664,2247000,2230,1999,2,0
1,187250,24,1739,1664,2247000,2230,1999,2,0
1,187250,25,1739,1175,2247000,2229,1999,2,0
1,187250,25,1739,1175,2247000,2229,1999,2,0
1,29960,30,826,925,1048600,1018,1999,1,0
1,29960,20,3261,5210,4194400,3400,1999,2,0
1,29960,6,2026,3080,4793600,1997,1999,2,0
1,29960,3,4197,6100,8239000,3589,1999,1,0
1,29960,2,4500,6000,8988000,3589,1999,1,0
1,29960,2,3500,4200,8988000,2827,1999,2,0
1,29960,0,4200,6000,8988000,3589,1999,1,0
1,29960,2,3500,4250,8988000,2828,1999,1,3
1,187250,10,5339,5670,14980000,4065,2000,2,0
1,187250,10,5339,5670,14980000,4065,2000,2,0
1,187250,10,5603,5400,14980000,4000,2000,2,0
1,187250,10,5603,5400,14980000,4000,2000,2,0
1,187250,11,5167,5353,14980000,4000,2000,2,0
1,187250,11,5167,5353,14980000,4000,2000,2,0
1,187250,13,4610,4568,13182400,4080,2000,2,0
1,187250,13,4610,4568,13182400,4080,2000,2,0
1,187250,14,4525,4585,13182400,4076,2000,2,0
1,187250,14,4525,4585,13182400,4076,2000,2,0
1,187250,18,7307,5500,11984000,5800,2000,2,0
1,187250,18,7307,5500,11984000,5800,2000,2,0
1,187250,25,3382,3991,4793600,3000,2000,2,0
1,187250,25,3382,3991,4793600,3000,2000,2,0
0.93,187250,26,3382,3994,4793600,3000,2000,2,0
0.93,187250,26,3382,3994,4793600,3000,2000,2,0
0.93,187250,20,2065,1478,3595200,2000,2000,2,0
0.93,187250,20,2065,1478,3595200,2000,2000,2,0
0.93,187250,21,2065,1487,3595200,2000,2000,2,0
0.93,187250,21,2065,1487,3595200,2000,2000,2,0
1,187250,22,2195,1900,3595200,1960,2000,2,0
1,187250,22,2195,1900,3595200,1960,2000,2,0
1,187250,25,1739,1664,2247000,2230,2000,2,0
1,187250,25,1739,1664,2247000,2230,2000,2,0
1,187250,26,1739,1700,2247000,2229,2000,2,0
1,187250,26,1739,1700,2247000,2229,2000,2,0
1,37450,23,3998,6088,5992000,4100,2000,1,0
1,37450,19,4101,6157,6995660,4400,2000,1,1
0.35,187250,11,5339,5670,14980000,4065,2001,2,0
0.65,187250,11,5339,5670,11984000,4065,2001,2,0
0.35,187250,11,5339,5670,14980000,4065,2001,2,0
0.65,187250,11,5339,5670,11984000,4065,2001,2,0
0.35,187250,11,5603,5400,14980000,4000,2001,2,0
0.65,187250,11,5603,5400,11984000,4000,2001,2,0
0.35,187250,11,5603,5400,14980000,4000,2001,2,0
0.65,187250,11,5603,5400,11984000,4000,2001,2,0
0.35,187250,12,5167,5353,14980000,4000,2001,2,0
0.65,187250,12,5167,5353,11984000,4000,2001,2,0
0.35,187250,12,5167,5353,14980000,4000,2001,2,0
0.65,187250,12,5167,5353,11984000,4000,2001,2,0
0.35,187250,14,4859,4610,13182400,4080,2001,2,0
0.65,187250,14,4859,4610,11984000,4080,2001,2,0
0.35,187250,14,4859,4610,13182400,4080,2001,2,0
0.65,187250,14,4859,4610,11984000,4080,2001,2,0
0.35,187250,15,4876,4525,13182400,4076,2001,2,1
0.65,187250,15,4876,4525,11984000,4076,2001,2,0
0.35,187250,15,4876,4525,13182400,4076,2001,2,1
0.65,187250,15,4876,4525,11984000,4076,2001,2,0
0.35,187250,19,7307,5500,11984000,5800,2001,2,1
0.65,187250,19,7307,5500,7989333,5800,2001,2,0
0.35,187250,19,7307,5500,11984000,5800,2001,2,1
0.65,187250,19,7307,5500,7989333,5800,2001,2,0
0.35,187250,26,3382,3991,4793600,3000,2001,2,0
0.65,187250,26,3382,3991,2996000,3000,2001,2,0
0.35,187250,26,3382,3991,4793600,3000,2001,2,0
0.65,187250,26,3382,3991,2996000,3000,2001,2,0
0.35,187250,23,2195,1950,3595200,1960,2001,2,0
0.29,187250,23,2195,1950,1997333,1960,2001,2,0
0.35,187250,23,2195,1950,3595200,1960,2001,2,0
0.29,187250,23,2195,1950,1997333,1960,2001,2,0
0.18,187250,26,1739,1664,2247000,2230,2001,2,0
0.18,187250,26,1739,1664,2247000,2230,2001,2,0
0.07,187250,27,1739,1700,2247000,2229,2001,2,0
0.07,187250,27,1739,1700,2247000,2229,2001,2,0
1,37450,25,2602,3092,1797600,2400,2001,2,0
1,37450,25,2978,4001,2516640,3000,2001,2,0
1,37450,22,2062,2525,1977360,2200,2001,2,0
1,37450,23,2020,2250,1977360,2200,2001,2,0
1,37450,24,2869,4281,2516640,3000,2001,2,0
1,37450,23,2978,4145,2516640,3000,2001,2,0
1,37450,11,3852,3728,14980000,3342,2001,2,0
1,37450,16,3179,3040,8239000,3000,2001,2,0
1,37450,20,2876,3313,5992000,2482,2001,2,0
1,37450,10,4471,3728,14980000,3060,2001,2,0
1,37450,12,4471,3728,14980000,3000,2001,2,1
1,37450,3,5656,5176,22470000,8565,2001,2,0
1,37450,2,5656,5175,22470000,8565,2001,2,0
1,37450,1,5656,5176,22470000,8565,2001,2,0
1,37450,24,3998,6088,5992000,4100,2001,1,0
1,37450,20,4101,6157,6995660,4400,2001,1,1
1,44940,26,2602,3092,1198400,2400,2002,2,1
1,44940,26,2978,4001,1498000,3000,2002,2,0
1,44940,23,2062,2525,1198400,2200,2002,2,1
1,44940,24,2020,2250,1198400,2200,2002,2,0
1,44940,25,2869,4281,1498000,3000,2002,2,0
1,44940,24,2978,4145,1498000,3000,2002,2,0
0.75,37450,25,3998,6088,5992000,4100,2002,1,0
0.75,37450,21,4101,6157,6995660,4400,2002,1,1
0.66,37450,12,3852,3728,14980000,3342,2002,2,0
0.66,37450,17,3179,3040,8239000,3000,2002,2,0
0.66,37450,21,2876,3313,5992000,2482,2002,2,0
0.66,37450,11,4471,3728,14980000,3060,2002,2,0
0.66,37450,13,4471,3728,14980000,3000,2002,2,0
0.66,37450,4,5656,5176,22470000,8565,2002,2,0
0.66,37450,3,5656,5175,22470000,8565,2002,2,0
0.66,37450,2,5656,5176,22470000,8565,2002,2,0
1,187250,12,5339,5670,11984000,4065,2002,2,0
1,187250,12,5603,5400,11984000,4000,2002,2,0
1,187250,13,5167,5353,11984000,4000,2002,2,0
1,187250,15,4859,4610,11984000,4080,2002,2,0
1,187250,16,4876,4525,11984000,4076,2002,2,0
1,187250,20,7307,5500,7989333,5800,2002,2,0
1,187250,27,3382,3991,2996000,3000,2002,2,0
0.67,59920,27,2978,4001,1498000,3000,2003,2,0
0.67,59920,26,2869,4281,1498000,3000,2003,2,0
